    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
      95.2912       7805.23       7794.58         24.97
      95.3740       7795.20       7793.58         24.96
      95.4581       7797.21       7794.58         24.98
      95.5417       7797.21       7794.58         24.97
      95.6253       7806.24       7799.59         24.99
      95.7076       7798.21       7794.58         24.99
      95.7909       7796.21       7794.58         25.01
      95.8748       7793.20       7794.58         24.97
      95.9576       7795.20       7792.58         25.01
      96.0414       7797.21       7798.59         25.02
      96.1242       7792.20       7794.58         24.94
      96.2083       7791.19       7793.58         24.95
      96.2912       7806.24       7797.59         24.96
      96.3740       7795.20       7794.58         24.96
      96.4581       7799.22       7797.59         24.95
      96.5409       7795.20       7800.59         24.97
      96.6250       7796.21       7787.57         24.97
      96.7078       7796.21       7808.61         25.01
      96.7917       7800.22       7794.58         25.01
      96.8748       7800.22       7793.58         25.01
      96.9583       7800.22       7794.58         24.97
      97.0414       7793.20       7794.58         24.96
      97.1245       7800.22       7792.58         24.94
      97.2076       7800.22       7794.58         24.92
      97.2917       7792.20       7794.58         24.94
      97.3745       7796.21       7794.58         24.98
      97.4576       7800.22       7794.58         24.97
      97.5412       7795.20       7794.58         24.97
      97.6240       7786.18       7794.58         24.99
      97.7083       7800.22       7794.58         24.99
      97.7906       7793.20       7805.60         24.98
      97.8745       7793.20       7794.58         25.01
      97.9573       7800.22       7793.58         24.97
      98.0417       7790.19       7800.59         24.96
      98.1245       7800.22       7794.58         25.03
      98.2078       7791.19       7789.57         24.97
      98.2906       7796.21       7802.60         25.02
      98.3745       7795.20       7795.58         24.96
      98.4573       7799.22       7784.56         24.94
      98.5417       7795.20       7801.59         24.92
      98.6248       7798.21       7794.58         24.96
      98.7078       7800.22       7797.59         24.94
      98.7909       7794.20       7801.59         24.96
      98.8740       7799.22       7803.60         24.96
      98.9581       7793.20       7797.59         24.97
      99.0412       7800.22       7794.58         24.99
      99.1250       7800.22       7791.57         25.01
      99.2078       7797.21       7791.57         25.02
      99.2914       7794.20       7794.58         24.97
      99.3742       7800.22       7794.58         24.96
      99.4573       7792.20       7794.58         24.95
      99.5414       7800.22       7793.58         24.97
      99.6242       7793.20       7792.58         24.98
      99.7076       7114.17       7794.58         24.94
      99.7906       7015.87       7794.58         24.98
      99.8748       6635.74       7800.59         24.98
      99.9573       5303.75       7794.58         25.03
     100.0414       5040.97       7800.59         24.96
     100.1245       4991.82       7794.58         24.94
     100.2073       4991.82       7791.57         24.96
     100.2917       4981.79       7794.58         24.95
     100.3748       4991.82       7802.60         24.97
     100.4578       4991.82       7794.58         24.94
     100.5406       4988.81       7800.59         24.94
     100.6250       4990.82       7801.59         24.94
     100.7078       4990.82       7794.58         24.97
     100.7906       4997.84       7794.58         24.95
     100.8750       4994.83       7794.58         24.96
     100.9578       4994.83       7794.58         24.98
     101.0417       4990.82       7790.57         25.01
     101.1240       5001.85       7808.61         25.01
     101.2081       4988.81       7797.59         24.97
     101.2912       4991.82       7809.61         24.97
     101.3740       4991.82       7795.58         24.97
     101.4583       4993.83       7794.58         24.94
     101.5414       4993.83       7794.58         24.96
     101.6245       4990.82       7808.61         24.94
     101.7073       4987.81       7794.58         24.93
     101.7906       4993.83       7794.58         24.91
     101.8748       4992.82       7790.57         24.88
     101.9578       4984.80       7800.59         24.91
     102.0409       4991.82       7797.59         24.96
     102.1240       4996.83       7803.60         24.97
     102.2073       4984.80       7804.60         24.97
     102.2917       4994.83       7803.60         24.99
     102.3742       4998.84       7794.58         25.03
     102.4573       4992.82       7794.58         25.04
     102.5417       4994.83       7794.58         25.04
     102.6245       4987.81       7802.60         24.97
     102.7076       4994.83       7797.59         24.90
     102.7909       4994.83       7800.59         24.90
